engineer,merged_pr_count,merged_pr_volume_points,median_pr_cycle_hours,large_pr_share,authored_pr_review_coverage_pct,weeks_active,unique_prs_authored,domains_touched_inferred,domain_coverage_count,reviews_submitted,approvals_given,unique_authors_reviewed,review_weeks_active,unique_collaborators,momentum_raw,momentum_score,window_start,window_end,why,shipping_score,review_leverage_score,execution_flow_score,consistency_score,collaboration_score,impact_score_100,contributor_archetype
manan19,0.0,0.0,,0.0,,0.0,,general,0.0,0.0,0.0,0.0,,0.0,,0.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0,,0.0,0.0,0.0,Mixed
marandaneto,0.0,0.0,,0.0,,5.0,,general,0.0,19.0,8.0,7.0,5.0,7.0,8.5,0.2291825821237585,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,consistent weekly presence,0.0,0.4204388190520122,,0.8333333333333334,0.5384615384615384,26.520745015486607,Mixed
mariusandra,12.0,63.63060859219138,43.25861111111111,0.4166666666666667,100.0,6.0,12.0,"backend,data,frontend,general",4.0,52.0,30.0,21.0,6.0,21.0,14.8,0.4216959511077158,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,"high review leverage, strong execution flow, consistent weekly presence",0.6736842105263158,1.0,0.7688028587519684,1.0,1.0,80.95952870814614,Balanced
masylum,0.0,0.0,,0.0,,0.0,,general,0.0,0.0,0.0,0.0,,0.0,,0.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0,,0.0,0.0,0.0,Mixed
matheus-vb,5.0,26.217024733799825,91.365,0.2,100.0,4.0,5.0,general,1.0,13.0,11.0,4.0,4.0,4.0,12.5,0.3514132925897631,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.2473684210526315,0.3002104716872332,0.4995986531294055,0.6666666666666666,0.3076923076923077,35.67801689018823,Mixed
matt-metivier,0.0,0.0,,0.0,,0.0,,general,0.0,0.0,0.0,0.0,,0.0,,0.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0,,0.0,0.0,0.0,Mixed
maxispeicher,0.0,0.0,,0.0,,2.0,,general,0.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0305576776165011,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0450928381962864,,0.3333333333333333,0.0769230769230769,5.535461833636275,Mixed
meikelmosby,24.0,117.9373342963919,17.42791666666667,0.2916666666666667,100.0,5.0,24.0,"backend,data,frontend,general,product_ops",5.0,19.0,13.0,8.0,5.0,8.0,34.0,1.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,"top-tier shipping impact, strong execution flow, consistent weekly presence",1.0,0.4647532003229152,0.9133518830958414,0.8333333333333334,0.6153846153846154,79.80628774168999,Shipper
mendral-app,30.0,76.16246500857996,0.737638888888889,0.0,96.66666666666669,3.0,30.0,"backend,data,frontend,general,infra,product_ops,security",7.0,0.0,0.0,0.0,,0.0,31.0,0.9167303284950344,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,"top-tier shipping impact, strong execution flow, strong recent momentum",1.0,0.0,0.9883333333333332,0.5,0.0,58.992303284950346,Shipper
minekansu,0.0,0.0,,0.0,,1.0,,general,0.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0152788388082505,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0371785261215545,,0.1666666666666666,0.0769230769230769,3.518148977018807,Mixed
mixelburg,0.0,0.0,,0.0,,0.0,,general,0.0,0.0,0.0,0.0,,0.0,,0.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0,,0.0,0.0,0.0,Mixed
mp-hog,9.0,48.28238760744226,24.365277777777777,0.3333333333333333,100.0,4.0,9.0,"frontend,general,infra",3.0,19.0,17.0,6.0,4.0,6.0,19.5,0.5653170359052712,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,strong execution flow,0.5052631578947369,0.4463585514934838,0.8745302872502867,0.6666666666666666,0.4615384615384615,56.37003447403748,Mixed
naaa760,0.0,0.0,,0.0,,0.0,,general,0.0,0.0,0.0,0.0,,0.0,,0.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0,,0.0,0.0,0.0,Mixed
natalia-amorim,0.0,0.0,,0.0,,1.0,,general,0.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0152788388082505,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0371785261215545,,0.1666666666666666,0.0769230769230769,3.518148977018807,Mixed
nickbest-ph,13.0,48.58737603939107,3.448888888888889,0.0,100.0,4.0,13.0,"backend,frontend,general,infra,rust,security",6.0,32.0,22.0,4.0,4.0,4.0,29.5,0.8708938120702826,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,"top-tier shipping impact, strong execution flow, strong recent momentum",0.7631578947368421,0.601084073347941,0.991578770526205,0.6666666666666666,0.3076923076923077,71.24804809798944,Shipper
nielskaspers,0.0,0.0,,0.0,,0.0,,general,0.0,0.0,0.0,0.0,,0.0,,0.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0,,0.0,0.0,0.0,Mixed
odin-posthog,0.0,0.0,,0.0,,0.0,,general,0.0,0.0,0.0,0.0,,0.0,,0.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0,,0.0,0.0,0.0,Mixed
